"Timestamp","TZ","Pressure (bar)"
2019/04/04 11:36:56.000,n,7.256251
2019/04/04 11:37:00.005,n,7.281937
2019/04/04 11:37:04.010,n,7.330108
2019/04/04 11:37:08.014,n,7.371782
2019/04/04 11:37:12.002,n,7.394889
2019/04/04 11:37:16.006,n,7.405122
2019/04/04 11:37:20.011,n,7.398775
2019/04/04 11:37:24.000,n,7.121495
2019/04/04 11:37:28.004,n,7.108645
2019/04/04 11:37:32.009,n,7.144537
2019/04/04 11:37:36.013,n,7.195361
2019/04/04 11:37:40.001,n,7.240961
2019/04/04 11:37:44.007,n,7.26746
2019/04/04 11:37:48.010,n,7.276839
2019/04/04 11:37:52.000,n,7.269911
2019/04/04 11:37:56.007,n,7.248708
2019/04/04 11:38:00.008,n,7.225889
2019/04/04 11:38:04.012,n,7.202923
2019/04/04 11:38:08.001,n,7.181882
2019/04/04 11:38:12.005,n,7.159428
2019/04/04 11:38:16.009,n,7.163925
2019/04/04 11:38:20.014,n,6.945508
2019/04/04 11:38:24.002,n,6.958104
2019/04/04 11:38:28.007,n,7.01317
2019/04/04 11:38:32.011,n,7.073195
2019/04/04 11:38:36.000,n,7.119659
2019/04/04 11:38:40.004,n,7.15045
2019/04/04 11:38:44.009,n,7.16331
2019/04/04 11:38:48.013,n,7.184743
2019/04/04 11:38:52.002,n,7.232003
2019/04/04 11:38:56.006,n,7.284387
2019/04/04 11:39:00.010,n,7.319284
2019/04/04 11:39:04.015,n,7.339496
2019/04/04 11:39:08.003,n,7.345624
2019/04/04 11:39:12.008,n,7.337661
2019/04/04 11:39:16.012,n,7.179636
2019/04/04 11:39:20.000,n,7.060169
2019/04/04 11:39:24.008,n,7.097031
2019/04/04 11:39:28.010,n,7.147599
2019/04/04 11:39:32.014,n,7.198632
2019/04/04 11:39:36.003,n,7.230976
2019/04/04 11:39:40.006,n,7.244837
2019/04/04 11:39:44.011,n,7.243612
2019/04/04 11:39:48.016,n,7.258693
2019/04/04 11:39:52.000,n,7.300098
2019/04/04 11:39:56.008,n,7.347259
2019/04/04 11:40:00.000,n,7.376278
2019/04/04 11:40:04.000,n,7.387733
2019/04/04 11:40:08.005,n,7.383435
2019/04/04 11:40:12.000,n,7.366471
2019/04/04 11:40:16.000,n,7.080529
2019/04/04 11:40:20.000,n,7.0952
2019/04/04 11:40:24.000,n,7.13699
2019/04/04 11:40:28.000,n,7.188624
2019/04/04 11:40:32.000,n,7.230777
2019/04/04 11:40:36.000,n,7.256651
2019/04/04 11:40:40.000,n,7.263389
2019/04/04 11:40:44.000,n,7.256251
2019/04/04 11:40:48.000,n,7.282346
2019/04/04 11:40:52.000,n,7.327037
2019/04/04 11:40:56.000,n,7.369947
2019/04/04 11:41:00.000,n,7.394275
2019/04/04 11:41:04.000,n,7.402046
2019/04/04 11:41:08.000,n,7.395914
2019/04/04 11:41:12.000,n,7.118634
2019/04/04 11:41:16.000,n,7.104569
2019/04/04 11:41:20.000,n,7.141677
2019/04/04 11:41:24.000,n,7.190669
2019/04/04 11:41:28.000,n,7.237293
2019/04/04 11:41:32.000,n,7.263789
2019/04/04 11:41:36.000,n,7.272963
2019/04/04 11:41:40.000,n,7.265015
2019/04/04 11:41:44.000,n,7.281937
2019/04/04 11:41:48.000,n,7.322955
2019/04/04 11:41:52.000,n,7.368716
2019/04/04 11:41:56.000,n,7.396735
2019/04/04 11:42:00.002,n,7.406343
2019/04/04 11:42:04.000,n,7.402867
2019/04/04 11:42:08.000,n,7.169022
2019/04/04 11:42:12.000,n,7.082159
2019/04/04 11:42:16.000,n,7.042258
2019/04/04 11:42:20.000,n,7.00504
2019/04/04 11:42:24.000,n,6.97049
2019/04/04 11:42:28.000,n,6.938004
2019/04/04 11:42:32.000,n,6.935568
2019/04/04 11:42:36.000,n,6.976177
2019/04/04 11:42:40.000,n,7.028832
2019/04/04 11:42:44.000,n,7.089498
2019/04/04 11:42:48.000,n,7.148825
2019/04/04 11:42:52.000,n,7.193526
2019/04/04 11:42:56.000,n,7.219679
2019/04/04 11:43:00.000,n,7.234852
2019/04/04 11:43:04.000,n,7.096215
2019/04/04 11:43:08.000,n,6.994261
2019/04/04 11:43:12.001,n,7.043273
2019/04/04 11:43:16.000,n,7.100902
2019/04/04 11:43:20.000,n,7.148825
2019/04/04 11:43:24.000,n,7.177395
2019/04/04 11:43:28.000,n,7.19148
2019/04/04 11:43:32.000,n,7.201898
2019/04/04 11:43:36.000,n,7.241986
2019/04/04 11:43:40.000,n,7.292139
2019/04/04 11:43:44.000,n,7.330108
2019/04/04 11:43:48.000,n,7.35155
2019/04/04 11:43:52.000,n,7.357888
2019/04/04 11:43:56.002,n,7.351145
2019/04/04 11:44:00.000,n,7.336025
2019/04/04 11:44:04.000,n,7.055283
2019/04/04 11:44:08.000,n,7.077677
2019/04/04 11:44:12.000,n,7.121285
2019/04/04 11:44:16.000,n,7.172494
2019/04/04 11:44:20.000,n,7.215998
2019/04/04 11:44:24.001,n,7.237293
2019/04/04 11:44:28.000,n,7.23913
2019/04/04 11:44:32.000,n,7.245647
2019/04/04 11:44:36.000,n,7.2801
2019/04/04 11:44:40.003,n,7.324386
2019/04/04 11:44:44.000,n,7.364425
2019/04/04 11:44:48.000,n,7.375263
2019/04/04 11:44:52.000,n,7.357067
2019/04/04 11:44:56.000,n,7.329083
2019/04/04 11:45:00.000,n,7.068314
2019/04/04 11:45:04.000,n,7.092348
2019/04/04 11:45:08.002,n,7.13638
2019/04/04 11:45:12.000,n,7.186788
2019/04/04 11:45:16.000,n,7.22894
2019/04/04 11:45:20.001,n,7.247888
2019/04/04 11:45:24.003,n,7.242186
2019/04/04 11:45:28.000,n,7.254415
2019/04/04 11:45:32.000,n,7.292139
2019/04/04 11:45:36.001,n,7.337456
2019/04/04 11:45:40.000,n,7.372602
2019/04/04 11:45:44.000,n,7.381795
2019/04/04 11:45:48.000,n,7.363809
2019/04/04 11:45:52.003,n,7.333985
2019/04/04 11:45:56.000,n,7.10987
2019/04/04 11:46:00.000,n,7.088271
2019/04/04 11:46:04.001,n,7.130868
2019/04/04 11:46:08.005,n,7.181271
2019/04/04 11:46:12.000,n,7.223443
2019/04/04 11:46:16.000,n,7.243206
2019/04/04 11:46:20.001,n,7.241781
2019/04/04 11:46:24.000,n,7.249113
2019/04/04 11:46:28.000,n,7.284597
2019/04/04 11:46:32.000,n,7.331129
2019/04/04 11:46:36.003,n,7.366881
2019/04/04 11:46:40.000,n,7.379354
2019/04/04 11:46:44.000,n,7.370351
2019/04/04 11:46:48.001,n,7.343587
2019/04/04 11:46:52.000,n,7.203333
2019/04/04 11:46:56.000,n,7.02679
2019/04/04 11:47:00.000,n,6.98044
2019/04/04 11:47:04.003,n,6.941046
2019/04/04 11:47:08.000,n,6.904938
2019/04/04 11:47:12.000,n,6.903517
2019/04/04 11:47:16.000,n,6.940641
2019/04/04 11:47:20.005,n,6.989389
2019/04/04 11:47:24.000,n,7.046529
2019/04/04 11:47:28.000,n,7.107219
2019/04/04 11:47:32.002,n,7.16331
2019/04/04 11:47:36.000,n,7.200467
2019/04/04 11:47:40.000,n,7.222633
2019/04/04 11:47:44.000,n,7.231792
2019/04/04 11:47:48.003,n,7.234852
2019/04/04 11:47:52.000,n,7.005241
2019/04/04 11:47:56.000,n,7.053447
2019/04/04 11:48:00.001,n,7.108645
2019/04/04 11:48:04.005,n,7.148825
2019/04/04 11:48:08.000,n,7.171679
2019/04/04 11:48:12.000,n,7.17801
2019/04/04 11:48:16.003,n,7.204149
2019/04/04 11:48:20.000,n,7.249323
2019/04/04 11:48:24.000,n,7.298667
2019/04/04 11:48:28.000,n,7.327037
2019/04/04 11:48:32.004,n,7.336436
2019/04/04 11:48:36.000,n,7.323776
2019/04/04 11:48:40.000,n,7.315198
2019/04/04 11:48:44.002,n,7.33419
2019/04/04 11:48:48.007,n,7.093973
2019/04/04 11:48:52.000,n,7.13434
2019/04/04 11:48:56.001,n,7.171883
2019/04/04 11:49:00.004,n,7.19046
2019/04/04 11:49:04.000,n,7.19107
2019/04/04 11:49:08.000,n,7.214362
2019/04/04 11:49:12.001,n,7.258693
2019/04/04 11:49:16.005,n,7.307035
2019/04/04 11:49:20.000,n,7.333164
2019/04/04 11:49:24.000,n,7.341337
2019/04/04 11:49:28.003,n,7.327858
2019/04/04 11:49:32.008,n,7.312753
2019/04/04 11:49:36.000,n,7.338481
2019/04/04 11:49:40.003,n,7.38201
2019/04/04 11:49:44.004,n,7.170042
2019/04/04 11:49:48.000,n,7.120469
2019/04/04 11:49:52.000,n,7.127197
2019/04/04 11:49:56.002,n,7.16188
2019/04/04 11:50:00.007,n,7.211096
2019/04/04 11:50:04.000,n,7.255025
2019/04/04 11:50:08.000,n,7.2797
2019/04/04 11:50:12.004,n,7.283161
2019/04/04 11:50:16.008,n,7.271742
2019/04/04 11:50:20.000,n,7.294996
2019/04/04 11:50:24.002,n,7.33807
2019/04/04 11:50:28.005,n,7.3816
2019/04/04 11:50:32.000,n,7.401636
2019/04/04 11:50:36.000,n,7.401842
2019/04/04 11:50:40.003,n,7.269301
2019/04/04 11:50:44.007,n,7.0952
2019/04/04 11:50:48.000,n,7.118228
2019/04/04 11:50:52.000,n,7.160454
2019/04/04 11:50:56.004,n,7.210887
2019/04/04 11:51:00.009,n,7.251149
2019/04/04 11:51:04.000,n,7.270517
2019/04/04 11:51:08.005,n,7.269911
2019/04/04 11:51:12.007,n,7.26746
2019/04/04 11:51:16.000,n,7.299487
2019/04/04 11:51:20.000,n,7.344809
2019/04/04 11:51:24.003,n,7.38242
2019/04/04 11:51:28.008,n,7.396735
2019/04/04 11:51:32.000,n,7.391619
2019/04/04 11:51:36.001,n,7.373418
2019/04/04 11:51:40.005,n,7.083379
2019/04/04 11:51:44.000,n,7.03534
2019/04/04 11:51:48.000,n,6.995076
2019/04/04 11:51:52.002,n,6.957489
2019/04/04 11:51:56.007,n,6.922244
2019/04/04 11:52:00.000,n,6.918779
2019/04/04 11:52:04.000,n,6.958709
2019/04/04 11:52:08.005,n,7.010528
2019/04/04 11:52:12.009,n,7.068513
2019/04/04 11:52:16.000,n,7.126586
2019/04/04 11:52:20.001,n,7.173719
2019/04/04 11:52:24.006,n,7.203333
2019/04/04 11:52:28.000,n,7.218654
2019/04/04 11:52:32.000,n,7.218859
2019/04/04 11:52:36.006,n,6.970895
